,min,max,range,median,mean,var,sd,se
68,57.0,314.0,57.0,78.5,112.41666666666667,5444.44696969697,73.7864958491523,21.300326620533646
69,57.0,314.0,314.0,78.5,112.41666666666667,5444.44696969697,73.7864958491523,21.300326620533646
70,7.0,660.0,7.0,50.0,143.25,39102.931818181816,197.74461261481136,57.08395266197981
71,7.0,660.0,660.0,50.0,143.25,39102.931818181816,197.74461261481136,57.08395266197981
72,21.0,982.0,21.0,203.5,241.41666666666666,63484.628787878784,251.9615621238263,72.73503785881486
73,21.0,982.0,982.0,203.5,241.41666666666666,63484.628787878784,251.9615621238263,72.73503785881486
74,4.0,245.0,4.0,69.0,88.16666666666667,6616.151515151515,81.33972900834816,23.48075721939051
75,4.0,245.0,245.0,69.0,88.16666666666667,6616.151515151515,81.33972900834816,23.48075721939051
76,19.0,158.0,19.0,92.0,91.5,1984.6363636363637,44.549257722619394,12.860262969176162
77,19.0,158.0,158.0,92.0,91.5,1984.6363636363637,44.549257722619394,12.860262969176162
78,5.0,168.0,5.0,83.5,75.0,3047.6363636363635,55.20540158024723,15.936426731538567
79,5.0,168.0,168.0,83.5,75.0,3047.6363636363635,55.20540158024723,15.936426731538567
80,5.0,241.0,5.0,39.5,63.5,5027.363636363636,70.90390423921404,20.46819409955284
81,5.0,241.0,241.0,39.5,63.5,5027.363636363636,70.90390423921404,20.46819409955284
82,21.0,189.0,21.0,134.5,127.08333333333333,2883.537878787879,53.69858358269684,15.50144584328582
83,21.0,189.0,189.0,134.5,127.08333333333333,2883.537878787879,53.69858358269684,15.50144584328582
84,20.0,766.0,20.0,193.0,267.9166666666667,53869.53787878788,232.09812123062926,67.0009563854551
85,20.0,766.0,766.0,193.0,267.9166666666667,53869.53787878788,232.09812123062926,67.0009563854551
86,8.0,158.0,8.0,63.0,70.25,2401.2954545454545,49.00301474955857,14.145951878380421
87,8.0,158.0,158.0,63.0,70.25,2401.2954545454545,49.00301474955857,14.145951878380421
88,4.0,311.0,4.0,99.0,122.16666666666667,11070.333333333334,105.21565156065581,30.373142375753254
89,4.0,311.0,311.0,99.0,122.16666666666667,11070.333333333334,105.21565156065581,30.373142375753254
90,25.0,156.0,25.0,88.0,93.58333333333333,2064.4469696969695,45.4361856860473,13.116297018394617
91,25.0,156.0,156.0,88.0,93.58333333333333,2064.4469696969695,45.4361856860473,13.116297018394617
92,61.0,437.0,61.0,144.5,164.58333333333334,8986.992424242424,94.79974907267648,27.36633032310937
93,61.0,437.0,437.0,144.5,164.58333333333334,8986.992424242424,94.79974907267648,27.36633032310937
94,7.0,205.0,7.0,50.0,64.41666666666667,3522.810606060606,59.35326954819428,17.13381307546719
95,7.0,205.0,205.0,50.0,64.41666666666667,3522.810606060606,59.35326954819428,17.13381307546719
96,4.0,717.0,4.0,28.5,139.08333333333334,49942.81060606061,223.4788817898922,64.51279627979541
97,4.0,717.0,717.0,28.5,139.08333333333334,49942.81060606061,223.4788817898922,64.51279627979541
98,0.0,314.0,0.0,4.0,60.166666666666664,11586.878787878788,107.64236520942295,31.073674264934176
99,0.0,314.0,314.0,4.0,60.166666666666664,11586.878787878788,107.64236520942295,31.073674264934176
100,56.0,289.0,56.0,260.0,211.0,8518.545454545454,92.29596662122053,26.643550586939195
101,56.0,289.0,289.0,260.0,211.0,8518.545454545454,92.29596662122053,26.643550586939195
102,20.0,160.0,20.0,58.0,73.08333333333333,2490.2651515151515,49.90255656291721,14.40562723242539
