,ID_Num,Up1,Up2,Up3,Dow1,Dow2,Dow3,Sed1,Sed2,Sed3,Hil1,Hil2,Hil3,OTU_ID
249,13.5,8.5,2.0,5.5,5.5,5.5,8.5,10.0,11.0,12.0,2.0,5.5,2.0,13.5
250,13.5,11.0,12.0,10.0,6.0,3.5,9.0,1.0,2.0,3.5,8.0,5.0,7.0,13.5
251,13.5,11.0,6.0,8.0,7.0,5.0,4.0,1.0,3.0,2.0,9.0,10.0,12.0,13.5
252,13.5,12.0,8.0,11.0,5.0,3.5,3.5,7.0,9.0,10.0,1.5,6.0,1.5,13.5
253,13.5,2.5,2.5,8.0,5.5,5.5,8.0,12.0,11.0,10.0,8.0,2.5,2.5,13.5
254,13.5,10.0,4.0,6.0,7.5,11.0,12.0,2.5,2.5,1.0,9.0,5.0,7.5,13.5
255,13.5,9.5,12.0,11.0,8.0,9.5,4.0,1.0,4.0,2.0,6.5,6.5,4.0,13.5
256,13.5,12.0,11.0,3.5,3.5,7.5,7.5,9.5,9.5,3.5,3.5,3.5,3.5,13.5
257,13.5,10.0,4.5,9.0,4.5,7.0,6.0,1.0,2.0,3.0,8.0,12.0,11.0,13.5
258,13.5,6.0,3.0,9.0,9.0,11.5,4.5,1.5,4.5,1.5,9.0,7.0,11.5,13.5
259,13.5,4.5,4.5,9.0,4.5,4.5,4.5,12.0,10.0,11.0,4.5,4.5,4.5,13.5
260,13.5,10.0,4.0,11.0,5.0,9.0,12.0,1.0,2.0,3.0,7.5,7.5,6.0,13.5
261,13.5,5.0,12.0,6.0,7.5,7.5,11.0,1.0,3.0,2.0,9.0,4.0,10.0,13.5
262,13.5,8.0,5.5,5.5,12.0,2.0,9.5,11.0,9.5,5.5,2.0,5.5,2.0,13.5
263,13.5,9.0,12.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,4.0,9.0,13.5
264,13.5,2.5,2.5,2.5,6.5,9.0,6.5,10.5,12.0,10.5,6.5,6.5,2.5,13.5
265,13.5,1.5,6.5,6.5,3.5,3.5,9.0,10.0,12.0,11.0,6.5,6.5,1.5,13.5
266,13.5,7.0,2.0,5.5,9.0,11.0,12.0,4.0,2.0,2.0,10.0,8.0,5.5,13.5
267,13.5,5.5,7.5,11.0,10.0,2.5,12.0,2.5,5.5,2.5,9.0,2.5,7.5,13.5
268,13.5,4.5,4.5,4.5,4.5,4.5,4.5,11.0,10.0,12.0,4.5,9.0,4.5,13.5
269,13.5,4.5,4.5,4.5,9.0,4.5,4.5,10.0,12.0,11.0,4.5,4.5,4.5,13.5
270,13.5,10.0,11.0,12.0,6.0,5.0,3.5,1.0,2.0,3.5,7.0,8.0,9.0,13.5
271,13.5,10.5,12.0,10.5,7.0,4.5,8.5,2.0,8.5,6.0,2.0,4.5,2.0,13.5
272,13.5,4.5,1.5,4.5,4.5,9.0,4.5,12.0,11.0,10.0,7.5,7.5,1.5,13.5
273,13.5,5.5,11.0,11.0,11.0,8.5,4.0,1.5,3.0,1.5,7.0,8.5,5.5,13.5
274,13.5,8.0,8.0,5.0,11.0,12.0,8.0,2.0,2.0,8.0,4.0,2.0,8.0,13.5
275,13.5,6.5,3.0,3.0,11.0,12.0,8.0,3.0,3.0,3.0,10.0,6.5,9.0,13.5
276,13.5,12.0,4.0,8.5,8.5,4.0,10.5,10.5,4.0,4.0,4.0,4.0,4.0,13.5
277,13.5,8.0,9.5,6.0,12.0,6.0,9.5,1.5,3.5,1.5,6.0,3.5,11.0,13.5
278,13.5,6.0,6.0,9.5,11.0,12.0,8.0,2.5,2.5,2.5,9.5,6.0,2.5,13.5
279,13.5,8.0,12.0,4.5,2.0,10.0,11.0,1.0,8.0,4.5,4.5,4.5,8.0,13.5
280,13.5,4.0,4.0,9.0,10.0,12.0,11.0,8.0,4.0,4.0,4.0,4.0,4.0,13.5
281,13.5,8.0,4.0,9.5,11.0,9.5,12.0,4.0,1.0,4.0,7.0,4.0,4.0,13.5
282,13.5,9.0,8.0,7.0,3.5,3.5,11.0,10.0,12.0,3.5,3.5,3.5,3.5,13.5
283,13.5,9.0,3.5,3.5,10.0,12.0,11.0,3.5,7.5,7.5,3.5,3.5,3.5,13.5
284,13.5,8.5,4.0,8.5,10.0,6.0,5.0,2.5,2.5,1.0,7.0,11.0,12.0,13.5
285,13.5,3.0,3.0,3.0,8.0,6.5,9.0,12.0,11.0,10.0,6.5,3.0,3.0,13.5
286,13.5,4.5,4.5,4.5,9.0,4.5,4.5,10.0,12.0,11.0,4.5,4.5,4.5,13.5
287,13.5,4.5,4.5,4.5,4.5,9.5,11.0,12.0,4.5,4.5,4.5,9.5,4.5,13.5
288,13.5,6.0,10.0,3.0,6.0,4.0,12.0,1.0,8.0,9.0,11.0,2.0,6.0,13.5
289,13.5,4.0,4.0,8.5,4.0,8.5,4.0,12.0,10.0,11.0,4.0,4.0,4.0,13.5
290,13.5,11.0,2.5,7.5,10.0,9.0,12.0,2.5,5.5,2.5,7.5,5.5,2.5,13.5
291,13.5,10.0,7.5,10.0,3.5,3.5,3.5,3.5,3.5,3.5,7.5,12.0,10.0,13.5
292,13.5,4.0,7.0,9.5,11.0,4.0,12.0,7.0,2.0,1.0,7.0,4.0,9.5,13.5
293,13.5,9.0,12.0,9.0,6.5,4.5,9.0,3.0,1.5,1.5,6.5,11.0,4.5,13.5
294,13.5,7.0,11.0,10.0,3.5,3.5,3.5,3.5,3.5,3.5,8.5,8.5,12.0,13.5
295,13.5,6.0,4.0,9.5,9.5,7.5,11.5,4.0,2.0,1.0,7.5,4.0,11.5,13.5
296,13.5,12.0,10.5,10.5,3.5,3.5,7.5,3.5,3.5,9.0,3.5,7.5,3.5,13.5
297,13.5,4.5,1.5,7.5,9.0,7.5,4.5,10.0,12.0,11.0,4.5,4.5,1.5,13.5
298,13.5,6.5,4.5,6.5,8.0,10.0,12.0,1.0,2.0,3.0,9.0,4.5,11.0,13.5
299,13.5,7.0,8.0,5.0,10.0,12.0,6.0,1.5,3.5,1.5,10.0,3.5,10.0,13.5
300,13.5,4.0,1.0,4.0,10.0,12.0,11.0,4.0,4.0,4.0,8.5,8.5,7.0,13.5
301,13.5,1.0,7.0,3.0,11.0,12.0,10.0,7.0,3.0,7.0,7.0,7.0,3.0,13.5
302,13.5,5.0,9.5,9.5,11.0,12.0,6.0,1.5,1.5,3.0,7.5,7.5,4.0,13.5
303,13.5,9.0,5.0,7.5,7.5,5.0,5.0,2.0,1.0,3.0,10.5,10.5,12.0,13.5
304,13.5,4.5,6.5,6.5,1.5,1.5,11.0,3.0,4.5,8.0,9.5,9.5,12.0,13.5
305,13.5,6.5,2.0,6.5,6.5,6.5,6.5,11.0,12.0,10.0,6.5,2.0,2.0,13.5
306,13.5,9.0,7.0,4.5,10.5,7.0,7.0,1.0,2.0,3.0,12.0,10.5,4.5,13.5
307,13.5,12.0,9.0,10.5,10.5,6.0,1.5,6.0,1.5,3.0,6.0,6.0,6.0,13.5
308,13.5,10.5,1.5,8.0,8.0,4.5,12.0,4.5,1.5,4.5,4.5,10.5,8.0,13.5
309,13.5,6.5,9.0,8.0,6.5,4.0,12.0,2.0,3.0,1.0,11.0,5.0,10.0,13.5
